
==================================================
========== FP-Tree 算法完整结果 ==========

Level 0 (频繁1项集):
总计: 2117 个频繁1项集
  [0]: 支持计数=177
  [215]: 支持计数=320
  [218]: 支持计数=91
  [220]: 支持计数=230
  [222]: 支持计数=228
  [225]: 支持计数=3257
  [226]: 支持计数=112
  [227]: 支持计数=307
  [228]: 支持计数=181
  [229]: 支持计数=820
  [232]: 支持计数=366
  [233]: 支持计数=95
  [234]: 支持计数=284
  [235]: 支持计数=309
  [236]: 支持计数=176
  [237]: 支持计数=3032
  [242]: 支持计数=911
  [243]: 支持计数=202
  [244]: 支持计数=272
  [246]: 支持计数=405
  [248]: 支持计数=412
  [249]: 支持计数=1160
  [250]: 支持计数=276
  [251]: 支持计数=621
  [254]: 支持计数=96
  [255]: 支持计数=1474
  [256]: 支持计数=250
  [258]: 支持计数=987
  [259]: 支持计数=684
  [260]: 支持计数=691
  [261]: 支持计数=523
  [262]: 支持计数=317
  [264]: 支持计数=895
  [265]: 支持计数=166
  [266]: 支持计数=139
  [267]: 支持计数=584
  [269]: 支持计数=701
  [270]: 支持计数=1734
  [271]: 支持计数=2094
  [272]: 支持计数=650
  [274]: 支持计数=195
  [275]: 支持计数=141
  [276]: 支持计数=114
  [278]: 支持计数=306
  [279]: 支持计数=633
  [280]: 支持计数=110
  [281]: 支持计数=453
  [282]: 支持计数=233
  [284]: 支持计数=138
  [285]: 支持计数=268
  [286]: 支持计数=1183
  [288]: 支持计数=147
  [289]: 支持计数=181
  [290]: 支持计数=117
  [291]: 支持计数=117
  [297]: 支持计数=525
  [301]: 支持计数=1204
  [308]: 支持计数=263
  [309]: 支持计数=309
  [310]: 支持计数=2594
  [311]: 支持计数=103
  [312]: 支持计数=91
  [314]: 支持计数=204
  [315]: 支持计数=130
  [317]: 支持计数=127
  [319]: 支持计数=435
  [320]: 支持计数=305
  [325]: 支持计数=193
  [326]: 支持计数=90
  [328]: 支持计数=162
  [330]: 支持计数=118
  [331]: 支持计数=194
  [332]: 支持计数=116
  [334]: 支持计数=774
  [335]: 支持计数=97
  [337]: 支持计数=224
  [338]: 支持计数=1274
  [340]: 支持计数=643
  [341]: 支持计数=396
  [342]: 支持计数=319
  [344]: 支持计数=262
  [345]: 支持计数=490
  [346]: 支持计数=335
  [347]: 支持计数=264
  [348]: 支持计数=138
  [349]: 支持计数=106
  [350]: 支持计数=248
  [351]: 支持计数=420
  [352]: 支持计数=438
  [357]: 支持计数=147
  [361]: 支持计数=90
  [362]: 支持计数=97
  [363]: 支持计数=109
  [364]: 支持计数=174
  [365]: 支持计数=442
  [368]: 支持计数=179
  [369]: 支持计数=103
  [370]: 支持计数=375
  [371]: 支持计数=782
  [374]: 支持计数=584
  [375]: 支持计数=99
  [379]: 支持计数=677
  [381]: 支持计数=95
  [382]: 支持计数=210
  [384]: 支持计数=437
  [386]: 支持计数=111
  [387]: 支持计数=129
  [388]: 支持计数=248
  [389]: 支持计数=831
  [390]: 支持计数=376
  [392]: 支持计数=239
  [393]: 支持计数=148
  [395]: 支持计数=122
  [396]: 支持计数=674
  [397]: 支持计数=307
  [398]: 支持计数=515
  [399]: 支持计数=235
  [401]: 支持计数=124
  [402]: 支持计数=221
  [405]: 支持计数=879
  [406]: 支持计数=228
  [407]: 支持计数=693
  [408]: 支持计数=479
  [409]: 支持计数=110
  [411]: 支持计数=119
  [412]: 支持计数=284
  [413]: 支持计数=1880
  [414]: 支持计数=263
  [415]: 支持计数=412
  [416]: 支持计数=105
  [418]: 支持计数=481
  [420]: 支持计数=600
  [421]: 支持计数=183
  [422]: 支持计数=150
  [423]: 支持计数=288
  [424]: 支持计数=352
  [425]: 支持计数=606
  [426]: 支持计数=508
  [427]: 支持计数=96
  [432]: 支持计数=466
  [433]: 支持计数=321
  [434]: 支持计数=207
  [435]: 支持计数=136
  [438]: 支持计数=1863
  [440]: 支持计数=235
  [441]: 支持计数=609
  [442]: 支持计数=218
  [444]: 支持计数=173
  [445]: 支持计数=174
  [446]: 支持计数=112
  [447]: 支持计数=231
  [448]: 支持计数=125
  [449]: 支持计数=690
  [451]: 支持计数=117
  [452]: 支持计数=93
  [454]: 支持计数=147
  [458]: 支持计数=151
  [459]: 支持计数=104
  [460]: 支持计数=166
  [464]: 支持计数=695
  [467]: 支持计数=175
  [468]: 支持计数=105
  [475]: 支持计数=2167
  [476]: 支持计数=102
  [478]: 支持计数=133
  [479]: 支持计数=926
  [481]: 支持计数=102
  [485]: 支持计数=202
  [486]: 支持计数=231
  [488]: 支持计数=720
  [489]: 支持计数=259
  [490]: 支持计数=445
  [491]: 支持计数=244
  [492]: 支持计数=259
  [493]: 支持计数=221
  [495]: 支持计数=124
  [497]: 支持计数=346
  [499]: 支持计数=118
  [500]: 支持计数=202
  [501]: 支持计数=319
  [502]: 支持计数=110
  [504]: 支持计数=298
  [505]: 支持计数=97
  [508]: 支持计数=97
  [511]: 支持计数=283
  [513]: 支持计数=101
  [514]: 支持计数=427
  [516]: 支持计数=129
  [518]: 支持计数=133
  [521]: 支持计数=122
  [522]: 支持计数=974
  [525]: 支持计数=225
  [526]: 支持计数=107
  [527]: 支持计数=141
  [529]: 支持计数=224
  [532]: 支持计数=99
  [533]: 支持计数=1487
  [534]: 支持计数=316
  [535]: 支持计数=718
  [536]: 支持计数=262
  [539]: 支持计数=112
  [541]: 支持计数=157
  [543]: 支持计数=295
  [544]: 支持计数=851
  [547]: 支持计数=428
  [548]: 支持计数=1137
  [549]: 支持计数=843
  [550]: 支持计数=260
  [552]: 支持计数=259
  [554]: 支持计数=119
  [555]: 支持计数=202
  [558]: 支持计数=212
  [560]: 支持计数=227
  [561]: 支持计数=116
  [563]: 支持计数=270
  [565]: 支持计数=237
  [566]: 支持计数=203
  [567]: 支持计数=146
  [569]: 支持计数=121
  [570]: 支持计数=792
  [571]: 支持计数=513
  [572]: 支持计数=179
  [573]: 支持计数=192
  [576]: 支持计数=255
  [577]: 支持计数=112
  [581]: 支持计数=574
  [583]: 支持计数=222
  [584]: 支持计数=189
  [585]: 支持计数=110
  [586]: 支持计数=99
  [587]: 支持计数=261
  [589]: 支持计数=1119
  [591]: 支持计数=432
  [592]: 支持计数=1227
  [593]: 支持计数=194
  [594]: 支持计数=104
  [595]: 支持计数=119
  [596]: 支持计数=211
  [597]: 支持计数=251
  [599]: 支持计数=235
  [604]: 支持计数=1209
  [606]: 支持计数=239
  [610]: 支持计数=346
  [611]: 支持计数=280
  [612]: 支持计数=259
  [614]: 支持计数=123
  [615]: 支持计数=274
  [618]: 支持计数=141
  [621]: 支持计数=185
  [622]: 支持计数=317
  [623]: 支持计数=525
  [626]: 支持计数=102
  [636]: 支持计数=185
  [637]: 支持计数=148
  [639]: 支持计数=216
  [640]: 支持计数=359
  [641]: 支持计数=109
  [643]: 支持计数=336
  [645]: 支持计数=100
  [647]: 支持计数=258
  [649]: 支持计数=857
  [650]: 支持计数=228
  [651]: 支持计数=247
  [652]: 支持计数=325
  [653]: 支持计数=339
  [659]: 支持计数=118
  [660]: 支持计数=224
  [661]: 支持计数=90
  [662]: 支持计数=286
  [664]: 支持计数=752
  [668]: 支持计数=99
  [673]: 支持计数=263
  [674]: 支持计数=96
  [675]: 支持计数=601
  [677]: 支持计数=1110
  [680]: 支持计数=95
  [681]: 支持计数=704
  [682]: 支持计数=296
  [683]: 支持计数=174
  [684]: 支持计数=277
  [685]: 支持计数=112
  [687]: 支持计数=108
  [690]: 支持计数=149
  [691]: 支持计数=146
  [692]: 支持计数=95
  [694]: 支持计数=412
  [695]: 支持计数=193
  [696]: 支持计数=156
  [697]: 支持计数=300
  [698]: 支持计数=185
  [699]: 支持计数=152
  [703]: 支持计数=806
  [704]: 支持计数=526
  [705]: 支持计数=127
  [706]: 支持计数=210
  [708]: 支持计数=244
  [711]: 支持计数=210
  [712]: 支持计数=142
  [713]: 支持计数=207
  [714]: 支持计数=129
  [715]: 支持计数=382
  [718]: 支持计数=287
  [719]: 支持计数=120
  [720]: 支持计数=126
  [723]: 支持计数=119
  [725]: 支持计数=141
  [727]: 支持计数=383
  [728]: 支持计数=116
  [729]: 支持计数=146
  [730]: 支持计数=369
  [731]: 支持计数=193
  [734]: 支持计数=366
  [736]: 支持计数=96
  [738]: 支持计数=116
  [739]: 支持计数=213
  [740]: 支持计数=1181
  [741]: 支持计数=100
  [742]: 支持计数=121
  [743]: 支持计数=118
  [749]: 支持计数=261
  [750]: 支持计数=161
  [751]: 支持计数=328
  [753]: 支持计数=261
  [754]: 支持计数=96
  [755]: 支持计数=200
  [757]: 支持计数=260
  [759]: 支持计数=235
  [760]: 支持计数=243
  [762]: 支持计数=137
  [763]: 支持计数=190
  [764]: 支持计数=280
  [766]: 支持计数=797
  [767]: 支持计数=248
  [768]: 支持计数=354
  [769]: 支持计数=329
  [770]: 支持计数=166
  [771]: 支持计数=98
  [772]: 支持计数=752
  [774]: 支持计数=89
  [779]: 支持计数=133
  [781]: 支持计数=182
  [783]: 支持计数=965
  [785]: 支持计数=369
  [788]: 支持计数=136
  [789]: 支持计数=648
  [790]: 支持计数=523
  [791]: 支持计数=175
  [792]: 支持计数=129
  [793]: 支持计数=494
  [795]: 支持计数=251
  [796]: 支持计数=96
  [797]: 支持计数=96
  [798]: 支持计数=503
  [799]: 支持计数=125
  [800]: 支持计数=97
  [801]: 支持计数=156
  [803]: 支持计数=106
  [805]: 支持计数=274
  [806]: 支持计数=741
  [807]: 支持计数=187
  [808]: 支持计数=482
  [809]: 支持计数=626
  [810]: 支持计数=111
  [811]: 支持计数=118
  [812]: 支持计数=821
  [813]: 支持计数=191
  [815]: 支持计数=131
  [816]: 支持计数=107
  [817]: 支持计数=369
  [820]: 支持计数=125
  [821]: 支持计数=116
  [822]: 支持计数=98
  [824]: 支持计数=1210
  [825]: 支持计数=124
  [826]: 支持计数=144
  [827]: 支持计数=92
  [828]: 支持计数=199
  [829]: 支持计数=352
  [830]: 支持计数=428
  [831]: 支持计数=454
  [832]: 支持计数=122
  [833]: 支持计数=139
  [835]: 支持计数=107
  [837]: 支持计数=257
  [838]: 支持计数=127
  [839]: 支持计数=95
  [840]: 支持计数=391
  [842]: 支持计数=412
  [845]: 支持计数=141
  [846]: 支持计数=595
  [848]: 支持计数=170
  [849]: 支持计数=234
  [851]: 支持计数=231
  [854]: 支持计数=151
  [855]: 支持计数=519
  [856]: 支持计数=494
  [857]: 支持计数=106
  [859]: 支持计数=112
  [860]: 支持计数=96
  [861]: 支持计数=205
  [862]: 支持计数=105
  [865]: 支持计数=632
  [874]: 支持计数=189
  [875]: 支持计数=113
  [877]: 支持计数=175
  [878]: 支持计数=570
  [879]: 支持计数=120
  [880]: 支持计数=222
  [885]: 支持计数=576
  [887]: 支持计数=235
  [892]: 支持计数=164
  [894]: 支持计数=92
  [896]: 支持计数=225
  [897]: 支持计数=95
  [898]: 支持计数=99
  [899]: 支持计数=157
  [901]: 支持计数=90
  [903]: 支持计数=376
  [905]: 支持计数=147
  [907]: 支持计数=287
  [909]: 支持计数=161
  [910]: 支持计数=519
  [911]: 支持计数=237
  [913]: 支持计数=543
  [914]: 支持计数=146
  [915]: 支持计数=137
  [916]: 支持计数=543
  [918]: 支持计数=123
  [919]: 支持计数=145
  [921]: 支持计数=322
  [922]: 支持计数=141
  [924]: 支持计数=252
  [925]: 支持计数=253
  [926]: 支持计数=240
  [927]: 支持计数=301
  [929]: 支持计数=99
  [930]: 支持计数=123
  [931]: 支持计数=123
  [932]: 支持计数=262
  [938]: 支持计数=290
  [939]: 支持计数=209
  [941]: 支持计数=137
  [942]: 支持计数=163
  [943]: 支持计数=132
  [944]: 支持计数=140
  [947]: 支持计数=591
  [956]: 支持计数=911
  [958]: 支持计数=171
  [959]: 支持计数=148
  [960]: 支持计数=102
  [961]: 支持计数=540
  [963]: 支持计数=152
  [966]: 支持计数=187
  [967]: 支持计数=122
  [968]: 支持计数=197
  [973]: 支持计数=189
  [974]: 支持计数=160
  [975]: 支持计数=110
  [976]: 支持计数=817
  [978]: 支持计数=371
  [979]: 支持计数=439
  [980]: 支持计数=108
  [981]: 支持计数=187
  [982]: 支持计数=112
  [983]: 支持计数=152
  [984]: 支持计数=334
  [985]: 支持计数=109
  [986]: 支持计数=173
  [987]: 支持计数=255
  [989]: 支持计数=302
  [991]: 支持计数=164
  [993]: 支持计数=344
  [994]: 支持计数=114
  [1000]: 支持计数=423
  [1001]: 支持计数=287
  [1002]: 支持计数=98
  [1003]: 支持计数=387
  [1004]: 支持计数=1102
  [1008]: 支持计数=156
  [1010]: 支持计数=266
  [1012]: 支持计数=230
  [1013]: 支持计数=260
  [1014]: 支持计数=261
  [1015]: 支持计数=149
  [1016]: 支持计数=212
  [1018]: 支持计数=97
  [1020]: 支持计数=465
  [1021]: 支持计数=112
  [1022]: 支持计数=99
  [1023]: 支持计数=201
  [1024]: 支持计数=123
  [1025]: 支持计数=218
  [1026]: 支持计数=256
  [1027]: 支持计数=346
  [1030]: 支持计数=127
  [1031]: 支持计数=135
  [1034]: 支持计数=310
  [1035]: 支持计数=157
  [1043]: 支持计数=551
  [1045]: 支持计数=107
  [1046]: 支持计数=365
  [1048]: 支持计数=131
  [1052]: 支持计数=401
  [1053]: 支持计数=134
  [1054]: 支持计数=159
  [1055]: 支持计数=191
  [1056]: 支持计数=121
  [1057]: 支持计数=97
  [1060]: 支持计数=210
  [1062]: 支持计数=433
  [1063]: 支持计数=202
  [1066]: 支持计数=411
  [1067]: 支持计数=584
  [1071]: 支持计数=232
  [1072]: 支持计数=232
  [1073]: 支持计数=105
  [1075]: 支持计数=89
  [1080]: 支持计数=295
  [1081]: 支持计数=337
  [1082]: 支持计数=379
  [1083]: 支持计数=118
  [1084]: 支持计数=93
  [1085]: 支持计数=235
  [1090]: 支持计数=143
  [1094]: 支持计数=147
  [1095]: 支持计数=127
  [1096]: 支持计数=271
  [1101]: 支持计数=140
  [1103]: 支持计数=407
  [1104]: 支持计数=247
  [1105]: 支持计数=141
  [1107]: 支持计数=131
  [1113]: 支持计数=448
  [1115]: 支持计数=192
  [1120]: 支持计数=162
  [1121]: 支持计数=425
  [1123]: 支持计数=148
  [1124]: 支持计数=148
  [1126]: 支持计数=425
  [1128]: 支持计数=101
  [1130]: 支持计数=167
  [1135]: 支持计数=667
  [1138]: 支持计数=105
  [1139]: 支持计数=134
  [1143]: 支持计数=253
  [1144]: 支持计数=599
  [1145]: 支持计数=149
  [1146]: 支持计数=1426
  [1152]: 支持计数=97
  [1153]: 支持计数=107
  [1154]: 支持计数=90
  [1158]: 支持计数=428
  [1159]: 支持计数=197
  [1160]: 支持计数=247
  [1161]: 支持计数=214
  [1163]: 支持计数=256
  [1165]: 支持计数=149
  [1166]: 支持计数=179
  [1172]: 支持计数=295
  [1173]: 支持计数=116
  [1178]: 支持计数=174
  [1180]: 支持计数=167
  [1183]: 支持计数=265
  [1184]: 支持计数=181
  [1185]: 支持计数=332
  [1188]: 支持计数=276
  [1191]: 支持计数=122
  [1192]: 支持计数=193
  [1196]: 支持计数=325
  [1198]: 支持计数=660
  [1209]: 支持计数=324
  [1210]: 支持计数=115
  [1214]: 支持计数=391
  [1215]: 支持计数=174
  [1218]: 支持计数=99
  [1219]: 支持计数=159
  [1227]: 支持计数=154
  [1228]: 支持计数=118
  [1232]: 支持计数=272
  [1233]: 支持计数=210
  [1237]: 支持计数=117
  [1239]: 支持计数=569
  [1244]: 支持计数=131
  [1246]: 支持计数=155
  [1249]: 支持计数=237
  [1250]: 支持计数=118
  [1251]: 支持计数=94
  [1257]: 支持计数=383
  [1260]: 支持计数=94
  [1264]: 支持计数=139
  [1265]: 支持计数=97
  [1268]: 支持计数=92
  [1269]: 支持计数=279
  [1274]: 支持计数=94
  [1275]: 支持计数=219
  [1277]: 支持计数=420
  [1280]: 支持计数=283
  [1281]: 支持计数=298
  [1282]: 支持计数=289
  [1285]: 支持计数=93
  [1286]: 支持计数=155
  [1290]: 支持计数=178
  [1291]: 支持计数=277
  [1294]: 支持计数=277
  [1297]: 支持计数=129
  [1307]: 支持计数=115
  [1308]: 支持计数=343
  [1309]: 支持计数=144
  [1311]: 支持计数=145
  [1312]: 支持计数=105
  [1313]: 支持计数=392
  [1315]: 支持计数=192
  [1316]: 支持计数=132
  [1318]: 支持计数=249
  [1319]: 支持计数=141
  [1320]: 支持计数=109
  [1327]: 支持计数=1786
  [1329]: 支持计数=132
  [1332]: 支持计数=243
  [1333]: 支持计数=311
  [1340]: 支持计数=97
  [1342]: 支持计数=212
  [1343]: 支持计数=214
  [1344]: 支持计数=753
  [1345]: 支持计数=226
  [1352]: 支持计数=142
  [1353]: 支持计数=138
  [1354]: 支持计数=167
  [1355]: 支持计数=512
  [1357]: 支持计数=101
  [1360]: 支持计数=337
  [1361]: 支持计数=400
  [1362]: 支持计数=132
  [1368]: 支持计数=163
  [1369]: 支持计数=101
  [1371]: 支持计数=123
  [1372]: 支持计数=253
  [1376]: 支持计数=139
  [1378]: 支持计数=244
  [1379]: 支持计数=283
  [1380]: 支持计数=209
  [1384]: 支持计数=109
  [1385]: 支持计数=110
  [1387]: 支持计数=213
  [1390]: 支持计数=193
  [1392]: 支持计数=104
  [1393]: 支持计数=1161
  [1394]: 支持计数=94
  [1395]: 支持计数=239
  [1396]: 支持计数=150
  [1397]: 支持计数=103
  [1402]: 支持计数=94
  [1403]: 支持计数=93
  [1404]: 支持计数=446
  [1408]: 支持计数=196
  [1410]: 支持计数=138
  [1415]: 支持计数=151
  [1417]: 支持计数=536
  [1421]: 支持计数=96
  [1422]: 支持计数=120
  [1423]: 支持计数=95
  [1424]: 支持计数=95
  [1425]: 支持计数=341
  [1426]: 支持计数=134
  [1428]: 支持计数=190
  [1430]: 支持计数=188
  [1433]: 支持计数=194
  [1435]: 支持计数=765
  [1439]: 支持计数=165
  [1440]: 支持计数=134
  [1444]: 支持计数=339
  [1448]: 支持计数=95
  [1455]: 支持计数=130
  [1456]: 支持计数=152
  [1459]: 支持计数=218
  [1468]: 支持计数=99
  [1473]: 支持计数=135
  [1475]: 支持计数=117
  [1476]: 支持计数=237
  [1478]: 支持计数=103
  [1479]: 支持计数=472
  [1481]: 支持计数=409
  [1482]: 支持计数=102
  [1486]: 支持计数=423
  [1488]: 支持计数=111
  [1489]: 支持计数=299
  [1497]: 支持计数=253
  [1498]: 支持计数=150
  [1503]: 支持计数=160
  [1513]: 支持计数=422
  [1517]: 支持计数=192
  [1520]: 支持计数=109
  [1527]: 支持计数=228
  [1529]: 支持计数=322
  [1530]: 支持计数=101
  [1534]: 支持计数=90
  [1536]: 支持计数=150
  [1537]: 支持计数=197
  [1538]: 支持计数=221
  [1540]: 支持计数=116
  [1542]: 支持计数=89
  [1543]: 支持计数=419
  [1545]: 支持计数=105
  [1547]: 支持计数=154
  [1557]: 支持计数=415
  [1558]: 支持计数=90
  [1561]: 支持计数=137
  [1562]: 支持计数=374
  [1564]: 支持计数=283
  [1568]: 支持计数=165
  [1569]: 支持计数=153
  [1570]: 支持计数=140
  [1576]: 支持计数=123
  [1578]: 支持计数=874
  [1579]: 支持计数=139
  [1585]: 支持计数=450
  [1587]: 支持计数=118
  [1588]: 支持计数=181
  [1590]: 支持计数=293
  [1591]: 支持计数=247
  [1592]: 支持计数=194
  [1593]: 支持计数=222
  [1594]: 支持计数=244
  [1595]: 支持计数=254
  [1596]: 支持计数=161
  [1598]: 支持计数=191
  [1600]: 支持计数=801
  [1602]: 支持计数=270
  [1603]: 支持计数=184
  [1604]: 支持计数=105
  [1609]: 支持计数=249
  [1611]: 支持计数=147
  [1612]: 支持计数=172
  [1613]: 支持计数=154
  [1615]: 支持计数=180
  [1616]: 支持计数=270
  [1619]: 支持计数=372
  [1624]: 支持计数=148
  [1629]: 支持计数=264
  [1634]: 支持计数=108
  [1638]: 支持计数=339
  [1640]: 支持计数=183
  [1642]: 支持计数=195
  [1652]: 支持计数=228
  [1653]: 支持计数=92
  [1654]: 支持计数=120
  [1655]: 支持计数=311
  [1656]: 支持计数=129
  [1658]: 支持计数=149
  [1659]: 支持计数=459
  [1661]: 支持计数=132
  [1670]: 支持计数=160
  [1675]: 支持计数=129
  [1677]: 支持计数=468
  [1678]: 支持计数=222
  [1679]: 支持计数=147
  [1688]: 支持计数=120
  [1693]: 支持计数=524
  [1696]: 支持计数=196
  [1697]: 支持计数=195
  [1698]: 支持计数=327
  [1700]: 支持计数=121
  [1701]: 支持计数=102
  [1702]: 支持计数=152
  [1704]: 支持计数=450
  [1709]: 支持计数=136
  [1713]: 支持计数=96
  [1714]: 支持计数=507
  [1715]: 支持计数=590
  [1725]: 支持计数=91
  [1727]: 支持计数=174
  [1736]: 支持计数=176
  [1738]: 支持计数=116
  [1739]: 支持计数=192
  [1741]: 支持计数=275
  [1744]: 支持计数=222
  [1747]: 支持计数=127
  [1752]: 支持计数=110
  [1755]: 支持计数=136
  [1763]: 支持计数=292
  [1765]: 支持计数=148
  [1768]: 支持计数=143
  [1771]: 支持计数=209
  [1772]: 支持计数=209
  [1773]: 支持计数=203
  [1776]: 支持计数=191
  [1779]: 支持计数=96
  [1781]: 支持计数=173
  [1783]: 支持计数=600
  [1784]: 支持计数=241
  [1786]: 支持计数=264
  [1787]: 支持计数=97
  [1789]: 支持计数=214
  [1791]: 支持计数=188
  [1795]: 支持计数=124
  [1796]: 支持计数=207
  [1799]: 支持计数=89
  [1804]: 支持计数=251
  [1805]: 支持计数=178
  [1807]: 支持计数=127
  [1808]: 支持计数=314
  [1809]: 支持计数=94
  [1811]: 支持计数=191
  [1813]: 支持计数=95
  [1814]: 支持计数=688
  [1815]: 支持计数=229
  [1818]: 支持计数=226
  [1819]: 支持计数=251
  [1821]: 支持计数=201
  [1822]: 支持计数=119
  [1824]: 支持计数=102
  [1826]: 支持计数=104
  [1829]: 支持计数=89
  [1831]: 支持计数=260
  [1833]: 支持计数=131
  [1834]: 支持计数=106
  [1837]: 支持计数=192
  [1838]: 支持计数=114
  [1841]: 支持计数=147
  [1842]: 支持计数=296
  [1846]: 支持计数=112
  [1847]: 支持计数=109
  [1848]: 支持计数=103
  [1853]: 支持计数=127
  [1854]: 支持计数=158
  [1855]: 支持计数=135
  [1859]: 支持计数=391
  [1864]: 支持计数=91
  [1866]: 支持计数=90
  [1867]: 支持计数=467
  [1868]: 支持计数=116
  [1870]: 支持计数=150
  [1872]: 支持计数=572
  [1874]: 支持计数=163
  [1877]: 支持计数=157
  [1878]: 支持计数=108
  [1879]: 支持计数=92
  [1884]: 支持计数=185
  [1886]: 支持计数=90
  [1890]: 支持计数=140
  [1895]: 支持计数=95
  [1896]: 支持计数=175
  [1897]: 支持计数=252
  [1899]: 支持计数=258
  [1901]: 支持计数=107
  [1903]: 支持计数=266
  [1905]: 支持计数=178
  [1907]: 支持计数=90
  [1909]: 支持计数=122
  [1910]: 支持计数=122
  [1911]: 支持计数=113
  [1914]: 支持计数=98
  [1915]: 支持计数=137
  [1920]: 支持计数=126
  [1922]: 支持计数=160
  [1924]: 支持计数=158
  [1929]: 支持计数=196
  [1930]: 支持计数=379
  [1931]: 支持计数=89
  [1938]: 支持计数=265
  [1939]: 支持计数=300
  [1948]: 支持计数=99
  [1951]: 支持计数=175
  [1956]: 支持计数=302
  [1958]: 支持计数=143
  [1962]: 支持计数=149
  [1964]: 支持计数=225
  [1966]: 支持计数=257
  [1971]: 支持计数=139
  [1972]: 支持计数=184
  [1973]: 支持计数=371
  [1975]: 支持计数=96
  [1976]: 支持计数=281
  [1980]: 支持计数=130
  [1981]: 支持计数=166
  [1986]: 支持计数=614
  [1987]: 支持计数=482
  [1990]: 支持计数=125
  [1991]: 支持计数=306
  [1994]: 支持计数=240
  [1996]: 支持计数=227
  [2002]: 支持计数=214
  [2004]: 支持计数=192
  [2011]: 支持计数=219
  [2012]: 支持计数=151
  [2014]: 支持计数=90
  [2015]: 支持计数=376
  [2026]: 支持计数=171
  [2030]: 支持计数=103
  [2033]: 支持计数=134
  [2034]: 支持计数=136
  [2039]: 支持计数=146
  [2043]: 支持计数=119
  [2046]: 支持计数=625
